accuracy,precision,recall,f1,f2,mcc,roc_auc,model,feature_group,num_features
0.9041994750656168,0.9066901408450704,0.9011373578302713,0.903905221588416,0.9022424667133847,0.8084141105633865,0.960674316410361,Random Forest - Content-like Features,Content-like Features,19
0.9098862642169728,0.9049265341400173,0.916010498687664,0.9104347826086957,0.9137720370047129,0.8198340285372141,0.9704002988252891,Random Forest - URL-like Features,URL-like Features,55
0.9365704286964129,0.9339130434782609,0.9396325459317585,0.9367640645442652,0.9384830478853547,0.8731572319721427,0.9763458045434609,Random Forest - External-service-like Features,External-service-like Features,7
0.9623797025371829,0.9591659426585578,0.9658792650918635,0.962510897994769,0.9645290931329722,0.9247820568489487,0.9934088510152329,Random Forest - All Features,All Features,81
