accuracy,precision,recall,f1,f2,mcc,roc_auc,model,num_features
0.952755905511811,0.948051948051948,0.958005249343832,0.9530026109660574,0.9559979046621268,0.9055617190112327,0.9896723867521809,Random Forest - Top 10 Features,10
0.9545056867891514,0.9497835497835497,0.9597550306211724,0.9547432550043516,0.9577440195564868,0.9090614744470249,0.9906131046829995,Random Forest - Top 20 Features,20
0.9575678040244969,0.9516407599309153,0.9641294838145232,0.9578444154715341,0.9616055846422339,0.9152144217308944,0.9923858489692288,Random Forest - Top 30 Features,30
0.9606299212598425,0.9550561797752809,0.9667541557305337,0.9608695652173913,0.9643916913946587,0.9213289562963569,0.9931818999440467,Random Forest - Top 50 Features,50
