feature_set,num_features,accuracy,precision,recall,f1,roc_auc,mcc,train_time_seconds,predict_time_seconds,predict_time_ms_per_1000_samples
All Features - maximum signal,81,0.9623797025371829,0.9591659426585578,0.9658792650918635,0.962510897994769,0.9934088510152329,0.9247820568489487,0.3303591250005411,0.04041437500018219,17.679079177682496
URL + Content - no external services,74,0.9444444444444444,0.9511545293072824,0.937007874015748,0.9440282062582636,0.9839029307688244,0.8889872209005486,0.30131408300076146,0.054604625000138185,23.88653762035791
External only - high deployment cost,7,0.9365704286964129,0.9339130434782609,0.9396325459317585,0.9367640645442652,0.9763458045434609,0.8731572319721427,0.1916727499992703,0.028160249999928055,12.318569553774303
URL only - low deployment cost,55,0.9098862642169728,0.9049265341400173,0.916010498687664,0.9104347826086957,0.9704002988252891,0.8198340285372141,0.24885324999922886,0.05387200000041048,23.56605424339916
Content only - medium deployment cost,19,0.9041994750656168,0.9066901408450704,0.9011373578302713,0.903905221588416,0.960674316410361,0.8084141105633865,0.25862216600035026,0.0494654169997375,21.638415135493222
