base_model,feature_group,num_features,accuracy,precision,recall,f1,f2,roc_auc,mcc
Decision Tree,Content only,19,0.863079615048119,0.8412828947368421,0.89501312335958,0.867316659601526,0.8837249481686248,0.8581291730484696,0.7276447765267676
SVM,Content only,19,0.8451443569553806,0.8357446808510638,0.8591426071741033,0.8472821397756687,0.8543587958935096,0.9101786598634926,0.6905593985842045
Logistic Regression,Content only,19,0.7755905511811023,0.7468652037617555,0.8337707786526685,0.7879288962381149,0.8148084815321477,0.8367146363922358,0.5549508556779019
Naive Bayes,Content only,19,0.726596675415573,0.671523178807947,0.8871391076115486,0.7644176404070863,0.833607365998027,0.8110477332065775,0.47853138362032094
Random Forest,External only,7,0.9365704286964129,0.9339130434782609,0.9396325459317585,0.9367640645442652,0.9384830478853547,0.9763458045434609,0.8731572319721427
XGBoost,External only,7,0.9335083114610674,0.9388839681133747,0.9273840769903762,0.9330985915492958,0.9296614629012454,0.97650386658798,0.8670816673216426
Decision Tree,External only,7,0.916010498687664,0.9152838427947598,0.9168853893263342,0.916083916083916,0.916564631799895,0.9157954118377373,0.8320222710919568
SVM,External only,7,0.884076990376203,0.8610197368421053,0.916010498687664,0.8876642645188639,0.9044574982722875,0.9309919484036498,0.7697254383018096
Logistic Regression,External only,7,0.857830271216098,0.8460236886632826,0.8748906386701663,0.8602150537634409,0.8689607229753216,0.9299421561806087,0.7160775013296006
Naive Bayes,External only,7,0.6535433070866141,0.6351039260969977,0.7217847769028871,0.6756756756756757,0.7026060296371998,0.7062767088497139,0.30998734510250653
XGBoost,URL + Content,74,0.9466316710411199,0.9458515283842794,0.94750656167979,0.9466783216783217,0.94717509183138,0.9861050833212777,0.8932647095529841
Random Forest,URL + Content,74,0.9444444444444444,0.9511545293072824,0.937007874015748,0.9440282062582636,0.9398034398034398,0.9839029307688244,0.8889872209005486
SVM,URL + Content,74,0.9326334208223972,0.9387755102040817,0.9256342957130359,0.93215859030837,0.9282330233374276,0.9772888187751685,0.8653516290610506
Logistic Regression,URL + Content,74,0.8980752405949256,0.9040852575488455,0.8906386701662292,0.8973115910092552,0.8932958932958933,0.957309470174496,0.7962385541530504
Decision Tree,URL + Content,74,0.8875765529308837,0.8865619546247818,0.8888888888888888,0.8877238968982089,0.888422525358517,0.8875765529308836,0.7751557758527112
Naive Bayes,URL + Content,74,0.7335958005249343,0.9292604501607717,0.5056867891513561,0.654957507082153,0.5564112437427802,0.8984878093212977,0.5248913353498065
XGBoost,URL + External,62,0.968066491688539,0.9660278745644599,0.9702537182852143,0.9681361850720209,0.9694055944055944,0.9945325075835336,0.9361419403514685
Random Forest,URL + External,62,0.9641294838145232,0.958513396715644,0.9702537182852143,0.9643478260869566,0.9678827020422412,0.9937908023964195,0.9283286064866426
SVM,URL + External,62,0.9536307961504812,0.9512619669277633,0.9562554680664916,0.9537521815008726,0.9552525782205908,0.9856542429134241,0.9072740926329088
Decision Tree,URL + External,62,0.9339457567804025,0.9298093587521664,0.9387576552930884,0.934262080975185,0.9369542438002095,0.9339457567804026,0.8679317073105658
Logistic Regression,URL + External,62,0.9291338582677166,0.9291338582677166,0.9291338582677166,0.9291338582677166,0.9291338582677166,0.9800351946382905,0.8582677165354331
Naive Bayes,URL + External,62,0.6902887139107612,0.7069457659372027,0.6500437445319335,0.6773017319963537,0.6606793526587231,0.741310988794817,0.3818162607537886
XGBoost,URL only,55,0.915573053368329,0.9137630662020906,0.9177602799650044,0.9157573112178088,0.916958041958042,0.9730728103431515,0.8311540591905562
Random Forest,URL only,55,0.9098862642169728,0.9049265341400173,0.916010498687664,0.9104347826086957,0.9137720370047129,0.9704002988252891,0.8198340285372141
SVM,URL only,55,0.8954505686789151,0.8944153577661431,0.8967629046369204,0.8955875928352992,0.8962924099335432,0.9595200424968752,0.7909038615923826
Decision Tree,URL only,55,0.8731408573928259,0.8679896462467644,0.8801399825021873,0.8740225890529973,0.8776827778747165,0.8731033511449738,0.7463548428605421
Logistic Regression,URL only,55,0.8464566929133859,0.8680297397769516,0.8171478565179353,0.8418206399278955,0.8268413597733711,0.9369366886881922,0.6941068985517291
Naive Bayes,URL only,55,0.7160979877515311,0.9215017064846417,0.47244094488188976,0.6246385193753615,0.5234587049243893,0.8649828657682008,0.4949412835091273
