feature,importance
google_index,0.19035050436804785
page_rank,0.10489735942250615
nb_hyperlinks,0.08761240839833738
web_traffic,0.07868977773589966
nb_www,0.039453720405247895
ratio_exthyperlinks,0.03908888374831666
domain_age,0.028607130825984727
longest_word_path,0.02703946588279307
ratio_inthyperlinks,0.024597313726800657
phish_hints,0.02350097666469257
safe_anchor,0.02194509222368074
length_url,0.01795870985407295
ratio_digits_url,0.01738354253948652
ratio_extredirection,0.017311697080798636
length_hostname,0.016194010453074604
length_words_raw,0.014773454871554643
avg_word_path,0.014577985753638657
longest_words_raw,0.013924494262834269
char_repeat,0.012983618477231085
domain_registration_length,0.012877911119183134
links_in_tags,0.01282386960347543
domain_in_title,0.011908604210265714
ratio_digits_host,0.011402282957777498
avg_words_raw,0.01039671548424925
nb_dots,0.010199396862692006
nb_slash,0.009927653429386231
shortest_word_host,0.00957605719110685
shortest_word_path,0.009313732438914762
nb_hyphens,0.009067907032509195
avg_word_host,0.00824342595850363
shortest_words_raw,0.008048786352819881
longest_word_host,0.006961651668648604
nb_qm,0.006471059746992453
ip,0.005851673970448608
domain_with_copyright,0.005644552855496674
nb_eq,0.005454724307996424
ratio_extmedia,0.004564141288025415
ratio_exterrors,0.003930037957572537
ratio_intmedia,0.003698537960108922
nb_redirection,0.003644253058018303
nb_subdomains,0.0035388924855361613
nb_extcss,0.0032463014285671605
domain_in_brand,0.0029953348252104535
shortening_service,0.00256180689295518
nb_underscore,0.0022383790825499235
empty_title,0.0019454550582550022
external_favicon,0.001783380979997454
https_token,0.0017576895806113873
prefix_suffix,0.0016824918873317742
nb_and,0.0016735376253726479
dns_record,0.0015587645261917935
nb_percent,0.0014320160677146452
suspecious_tld,0.0013276493508920016
nb_com,0.001145452211740224
http_in_path,0.0010824455617798854
statistical_report,0.0010816977359507324
nb_space,0.0010198533927095038
login_form,0.0009061174679474162
whois_registered_domain,0.0008644656703295551
random_domain,0.0008031594735134394
tld_in_path,0.0006464916881649431
nb_colon,0.0006376931987999651
tld_in_subdomain,0.0006293148805718936
nb_semicolumn,0.0005223758789823927
abnormal_subdomain,0.000439900472902476
port,0.0003347065259802064
nb_at,0.0002522240104079697
nb_dslash,0.00023815370110537187
brand_in_path,0.0002371294764668883
popup_window,0.00014676903441430454
nb_tilde,0.00011096431568335874
iframe,6.472580055467858e-05
right_clic,6.023623848613007e-05
brand_in_subdomain,5.414672024658549e-05
nb_comma,3.6175123546716686e-05
onmouseover,1.7477946479201853e-05
path_extension,1.3817130723598833e-05
nb_dollar,7.772620433072171e-06
nb_external_redirection,5.493870565001854e-06
punycode,2.07071422562864e-06
nb_star,3.4719691290001704e-07
