model,accuracy,precision,recall,f1,f2,roc_auc,mcc
Logistic Regression,0.9361329833770778,0.9392070484581497,0.9326334208223972,0.935908691834943,0.9339407744874715,0.9814221603751849,0.8722873327137197
Decision Tree,0.9356955380577427,0.9353146853146853,0.9361329833770778,0.9357236554438129,0.9359692092372288,0.9356955380577427,0.8713914096116941
Random Forest,0.9623797025371829,0.9591659426585578,0.9658792650918635,0.962510897994769,0.9645290931329722,0.9934088510152329,0.9247820568489487
SVM,0.9540682414698163,0.9576719576719577,0.9501312335958005,0.9538866930171278,0.9516298633017876,0.9883060877232867,0.9081646365360599
Naive Bayes,0.7427821522309711,0.6920415224913494,0.8748906386701663,0.7727975270479135,0.8309788931361144,0.8050938077184796,0.5034554675506625
XGBoost,0.9667541557305337,0.9643167972149695,0.9693788276465442,0.9668411867364747,0.9683621744450271,0.9941696920430878,0.9335211734226747
